Temporada,Piloto Campeão,País do Piloto Campeão,Carro do Piloto Campeão,Montadora do Piloto Campeão,Título de Construtoras
2014-15,Nelson Piquet Jr.,Brasil,Spark-Renault SRT 01E,China Racing/NEXTEV TCR (China),Renault e.dams (França)
2015-16,Sébastian Buemi,Suíça,Spark-Renault Z.E 15,Renault e.dams (França),Renault e.dams (França)
2016-17,Lucas di Grassi,Brasil,Spark-ABT Schaeffler FE02,ABT Schaeffler Audi Sport (Alemanha),Renault e.dams (França)
2017-18,Jean-Éric Vergne,França,Spark-Renault Z.E 17,Techeetah (China),Audi Sport ABT Schaeffler (Alemanha)
2018-19,Jean-Éric Vergne,França,Spark-DS E-Tense FE 19,DS Techeetah (China),DS Techeetah (China)
2019-20,António Félix da Costa,Portugal,Spark-DS E-TENSE FE20,DS Techeetah (China),DS Techeetah (China)
2020-21,Nyck de Vries,Países Baixos,Spark-Mercedes-EQ Silver Arrow 02,Mercedes-EQ Formula E Team (Alemanha),Mercedes-EQ Formula E Team (Alemanha)
2021-22,Stoffel Vandoorne,Bélgica,Spark-Mercedes-EQ Silver Arrow 02,Mercedes-EQ Formula E Team (Alemanha),Mercedes-EQ Formula E Team (Alemanha)
2022-23,Jake Dennis,Reino Unido,Spark–Porsche 99X Electric,Avalanche Andretti Formula E,Envision Racing (Reino Unido)
